fib_sum	dfsr	ifsr	actlr	cpacr	pmcr	cache_aux_cntrl	cntrl	time
14930352	6152	0	66	15728640	2147483648	66	12912760	7
14930352	6152	0	66	15728640	2147483648	66	12912760	7
14930352	6152	0	66	15728640	2147483648	66	12912760	7
14930352	6152	0	66	15728640	2147483648	66	12912760	7
14930352	6152	0	66	15728640	2147483648	66	12912760	7
14930352	6152	0	66	15728640	2147483648	66	12912760	8
14930352	6152	0	66	15728640	2147483648	66	12912760	8
14930352	6152	0	66	15728640	2147483648	66	12912760	8
14930352	6152	0	66	15728640	2147483648	66	12912760	8
14930352	6152	0	66	15728640	2147483648	66	12912760	8
14930352	6152	0	66	15728640	2147483648	66	12912760	8
14930352	6152	0	66	15728640	2147483648	66	12912760	8
14930352	6152	0	66	15728640	2147483648	66	12912760	9
14930352	6152	0	66	15728640	2147483648	66	12912760	9
14930352	6152	0	66	15728640	2147483648	66	12912760	9
14930352	6152	0	66	15728640	2147483648	66	12912760	9
14930352	6152	0	66	15728640	2147483648	66	12912760	9
14930352	6152	0	66	15728640	2147483648	66	12912760	9
14930352	6152	0	66	15728640	2147483648	66	12912760	9
14930352	6152	0	66	15728640	2147483648	66	12912760	10
14930352	6152	0	66	15728640	2147483648	66	12912760	10
14930352	6152	0	66	15728640	2147483648	66	12912760	10
14930352	6152	0	66	15728640	2147483648	66	12912760	10
14930352	6152	0	66	15728640	2147483648	66	12912760	10
14930352	6152	0	66	15728640	2147483648	66	12912760	11
14930352	6152	0	66	15728640	2147483648	66	12912760	11
14930352	6152	0	66	15728640	2147483648	66	12912760	11
14930352	6152	0	66	15728640	2147483648	66	12912760	11
14930352	6152	0	66	15728640	2147483648	66	12912760	11
14930352	6152	0	66	15728640	2147483648	66	12912760	11
14930352	6152	0	66	15728640	2147483648	66	12912760	12
14930352	6152	0	66	15728640	2147483648	66	12912760	12
14930352	6152	0	66	15728640	2147483648	66	12912760	12
14930352	6152	0	66	15728640	2147483648	66	12912760	12
14930352	6152	0	66	15728640	2147483648	66	12912760	12
14930352	6152	0	66	15728640	2147483648	66	12912760	12
14930352	6152	0	66	15728640	2147483648	66	12912760	13
14930352	6152	0	66	15728640	2147483648	66	12912760	13
14930352	6152	0	66	15728640	2147483648	66	12912760	13
14930352	6152	0	66	15728640	2147483648	66	12912760	13
14930352	6152	0	66	15728640	2147483648	66	12912760	13
14930352	6152	0	66	15728640	2147483648	66	12912760	13
14930352	6152	0	66	15728640	2147483648	66	12912760	14
14930352	6152	0	66	15728640	2147483648	66	12912760	14
14930352	6152	0	66	15728640	2147483648	66	12912760	14
14930352	6152	0	66	15728640	2147483648	66	12912760	14
14930352	6152	0	66	15728640	2147483648	66	12912760	14
14930352	6152	0	66	15728640	2147483648	66	12912760	14
14930352	6152	0	66	15728640	2147483648	66	12912760	15
14930352	6152	0	66	15728640	2147483648	66	12912760	15
14930352	6152	0	66	15728640	2147483648	66	12912760	15
14930352	6152	0	66	15728640	2147483648	66	12912760	15
14930352	6152	0	66	15728640	2147483648	66	12912760	15
14930352	6152	0	66	15728640	2147483648	66	12912760	15
14930352	6152	0	66	15728640	2147483648	66	12912760	16
14930352	6152	0	66	15728640	2147483648	66	12912760	16
14930352	6152	0	66	15728640	2147483648	66	12912760	16
14930352	6152	0	66	15728640	2147483648	66	12912760	16
14930352	6152	0	66	15728640	2147483648	66	12912760	16
14930352	6152	0	66	15728640	2147483648	66	12912760	17
14930352	6152	0	66	15728640	2147483648	66	12912760	17
14930352	6152	0	66	15728640	2147483648	66	12912760	17
14930352	6152	0	66	15728640	2147483648	66	12912760	17
14930352	6152	0	66	15728640	2147483648	66	12912760	17
14930352	6152	0	66	15728640	2147483648	66	12912760	17
14930352	6152	0	66	15728640	2147483648	66	12912760	18
14930352	6152	0	66	15728640	2147483648	66	12912760	18
14930352	6152	0	66	15728640	2147483648	66	12912760	18
14930352	6152	0	66	15728640	2147483648	66	12912760	18
14930352	6152	0	66	15728640	2147483648	66	12912760	18
14930352	6152	0	66	15728640	2147483648	66	12912760	18
14930352	6152	0	66	15728640	2147483648	66	12912760	19
14930352	6152	0	66	15728640	2147483648	66	12912760	19
14930352	6152	0	66	15728640	2147483648	66	12912760	19
14930352	6152	0	66	15728640	2147483648	66	12912760	19
14930352	6152	0	66	15728640	2147483648	66	12912760	19
14930352	6152	0	66	15728640	2147483648	66	12912760	20
14930352	6152	0	66	15728640	2147483648	66	12912760	20
14930352	6152	0	66	15728640	2147483648	66	12912760	20
14930352	6152	0	66	15728640	2147483648	66	12912760	20
14930352	6152	0	66	15728640	2147483648	66	12912760	20
14930352	6152	0	66	15728640	2147483648	66	12912760	20
14930352	6152	0	66	15728640	2147483648	66	12912760	21
14930352	6152	0	66	15728640	2147483648	66	12912760	21
14930352	6152	0	66	15728640	2147483648	66	12912760	21
14930352	6152	0	66	15728640	2147483648	66	12912760	21
14930352	6152	0	66	15728640	2147483648	66	12912760	21
14930352	6152	0	66	15728640	2147483648	66	12912760	21
14930352	6152	0	66	15728640	2147483648	66	12912760	22
14930352	6152	0	66	15728640	2147483648	66	12912760	22
14930352	6152	0	66	15728640	2147483648	66	12912760	22
14930352	6152	0	66	15728640	2147483648	66	12912760	22
14930352	6152	0	66	15728640	2147483648	66	12912760	22
14930352	6152	0	66	15728640	2147483648	66	12912760	22
14930352	6152	0	66	15728640	2147483648	66	12912760	23
14930352	6152	0	66	15728640	2147483648	66	12912760	23
14930352	6152	0	66	15728640	2147483648	66	12912760	23
14930352	6152	0	66	15728640	2147483648	66	12912760	23
14930352	6152	0	66	15728640	2147483648	66	12912760	23
14930352	6152	0	66	15728640	2147483648	66	12912760	24
14930352	6152	0	66	15728640	2147483648	66	12912760	24
14930352	6152	0	66	15728640	2147483648	66	12912760	24
14930352	6152	0	66	15728640	2147483648	66	12912760	24
14930352	6152	0	66	15728640	2147483648	66	12912760	24
14930352	6152	0	66	15728640	2147483648	66	12912760	24
14930352	6152	0	66	15728640	2147483648	66	12912760	25
14930352	6152	0	66	15728640	2147483648	66	12912760	25
14930352	6152	0	66	15728640	2147483648	66	12912760	25
14930352	6152	0	66	15728640	2147483648	66	12912760	25
14930352	6152	0	66	15728640	2147483648	66	12912760	25
14930352	6152	0	66	15728640	2147483648	66	12912760	25
14930352	6152	0	66	15728640	2147483648	66	12912760	26
14930352	6152	0	66	15728640	2147483648	66	12912760	26
14930352	6152	0	66	15728640	2147483648	66	12912760	26
14930352	6152	0	66	15728640	2147483648	66	12912760	26
14930352	6152	0	66	15728640	2147483648	66	12912760	26
14930352	6152	0	66	15728640	2147483648	66	12912760	27
14930352	6152	0	66	15728640	2147483648	66	12912760	27
14930352	6152	0	66	15728640	2147483648	66	12912760	27
14930352	6152	0	66	15728640	2147483648	66	12912760	27
14930352	6152	0	66	15728640	2147483648	66	12912760	27
14930352	6152	0	66	15728640	2147483648	66	12912760	27
14930352	6152	0	66	15728640	2147483648	66	12912760	27
14930352	6152	0	66	15728640	2147483648	66	12912760	28
14930352	6152	0	66	15728640	2147483648	66	12912760	28
14930352	6152	0	66	15728640	2147483648	66	12912760	28
14930352	6152	0	66	15728640	2147483648	66	12912760	28
14930352	6152	0	66	15728640	2147483648	66	12912760	28
14930352	6152	0	66	15728640	2147483648	66	12912760	28
14930352	6152	0	66	15728640	2147483648	66	12912760	29
14930352	6152	0	66	15728640	2147483648	66	12912760	29
14930352	6152	0	66	15728640	2147483648	66	12912760	29
14930352	6152	0	66	15728640	2147483648	66	12912760	29
14930352	6152	0	66	15728640	2147483648	66	12912760	29
14930352	6152	0	66	15728640	2147483648	66	12912760	30
14930352	6152	0	66	15728640	2147483648	66	12912760	30
14930352	6152	0	66	15728640	2147483648	66	12912760	30
14930352	6152	0	66	15728640	2147483648	66	12912760	30
14930352	6152	0	66	15728640	2147483648	66	12912760	30
14930352	6152	0	66	15728640	2147483648	66	12912760	30
14930352	6152	0	66	15728640	2147483648	66	12912760	31
14930352	6152	0	66	15728640	2147483648	66	12912760	31
14930352	6152	0	66	15728640	2147483648	66	12912760	31
14930352	6152	0	66	15728640	2147483648	66	12912760	31
14930352	6152	0	66	15728640	2147483648	66	12912760	31
14930352	6152	0	66	15728640	2147483648	66	12912760	31
14930352	6152	0	66	15728640	2147483648	66	12912760	31
14930352	6152	0	66	15728640	2147483648	66	12912760	32
14930352	6152	0	66	15728640	2147483648	66	12912760	32
14930352	6152	0	66	15728640	2147483648	66	12912760	32
14930352	6152	0	66	15728640	2147483648	66	12912760	32
14930352	6152	0	66	15728640	2147483648	66	12912760	32
14930352	6152	0	66	15728640	2147483648	66	12912760	33
14930352	6152	0	66	15728640	2147483648	66	12912760	33
14930352	6152	0	66	15728640	2147483648	66	12912760	33
14930352	6152	0	66	15728640	2147483648	66	12912760	33
14930352	6152	0	66	15728640	2147483648	66	12912760	33
14930352	6152	0	66	15728640	2147483648	66	12912760	33
14930352	6152	0	66	15728640	2147483648	66	12912760	34
14930352	6152	0	66	15728640	2147483648	66	12912760	34
14930352	6152	0	66	15728640	2147483648	66	12912760	34
14930352	6152	0	66	15728640	2147483648	66	12912760	34
14930352	6152	0	66	15728640	2147483648	66	12912760	34
14930352	6152	0	66	15728640	2147483648	66	12912760	34
14930352	6152	0	66	15728640	2147483648	66	12912760	35
14930352	6152	0	66	15728640	2147483648	66	12912760	35
14930352	6152	0	66	15728640	2147483648	66	12912760	35
14930352	6152	0	66	15728640	2147483648	66	12912760	35
14930352	6152	0	66	15728640	2147483648	66	12912760	35
14930352	6152	0	66	15728640	2147483648	66	12912760	35
14930352	6152	0	66	15728640	2147483648	66	12912760	36
14930352	6152	0	66	15728640	2147483648	66	12912760	36
14930352	6152	0	66	15728640	2147483648	66	12912760	36
14930352	6152	0	66	15728640	2147483648	66	12912760	36
14930352	6152	0	66	15728640	2147483648	66	12912760	36
14930352	6152	0	66	15728640	2147483648	66	12912760	36
14930352	6152	0	66	15728640	2147483648	66	12912760	37
