fib_sum	dfsr	ifsr	actlr	cpacr	pmcr	cache_aux_cntrl	cntrl	time
14930352	6152	0	66	15728640	2147483648	270532674	12912760	25
14930352	6152	0	66	15728640	2147483648	270532674	12912760	25
14930352	6152	0	66	15728640	2147483648	270532674	12912760	25
14930352	6152	0	66	15728640	2147483648	270532674	12912760	25
14930352	6152	0	66	15728640	2147483648	270532674	12912760	25
14930352	6152	0	66	15728640	2147483648	270532674	12912760	25
14930352	6152	0	66	15728640	2147483648	270532674	12912760	25
14930352	6152	0	66	15728640	2147483648	270532674	12912760	25
14930352	6152	0	66	15728640	2147483648	270532674	12912760	26
14930352	6152	0	66	15728640	2147483648	270532674	12912760	26
14930352	6152	0	66	15728640	2147483648	270532674	12912760	26
14930352	6152	0	66	15728640	2147483648	270532674	12912760	26
14930352	6152	0	66	15728640	2147483648	270532674	12912760	26
14930352	6152	0	66	15728640	2147483648	270532674	12912760	26
14930352	6152	0	66	15728640	2147483648	270532674	12912760	26
14930352	6152	0	66	15728640	2147483648	270532674	12912760	26
14930352	6152	0	66	15728640	2147483648	270532674	12912760	27
14930352	6152	0	66	15728640	2147483648	270532674	12912760	27
14930352	6152	0	66	15728640	2147483648	270532674	12912760	27
14930352	6152	0	66	15728640	2147483648	270532674	12912760	27
14930352	6152	0	66	15728640	2147483648	270532674	12912760	27
14930352	6152	0	66	15728640	2147483648	270532674	12912760	27
14930352	6152	0	66	15728640	2147483648	270532674	12912760	27
14930352	6152	0	66	15728640	2147483648	270532674	12912760	28
14930352	6152	0	66	15728640	2147483648	270532674	12912760	28
14930352	6152	0	66	15728640	2147483648	270532674	12912760	28
14930352	6152	0	66	15728640	2147483648	270532674	12912760	28
14930352	6152	0	66	15728640	2147483648	270532674	12912760	28
14930352	6152	0	66	15728640	2147483648	270532674	12912760	28
14930352	6152	0	66	15728640	2147483648	270532674	12912760	28
14930352	6152	0	66	15728640	2147483648	270532674	12912760	28
14930352	6152	0	66	15728640	2147483648	270532674	12912760	29
14930352	6152	0	66	15728640	2147483648	270532674	12912760	29
14930352	6152	0	66	15728640	2147483648	270532674	12912760	29
14930352	6152	0	66	15728640	2147483648	270532674	12912760	29
14930352	6152	0	66	15728640	2147483648	270532674	12912760	29
14930352	6152	0	66	15728640	2147483648	270532674	12912760	29
14930352	6152	0	66	15728640	2147483648	270532674	12912760	30
14930352	6152	0	66	15728640	2147483648	270532674	12912760	30
14930352	6152	0	66	15728640	2147483648	270532674	12912760	30
14930352	6152	0	66	15728640	2147483648	270532674	12912760	30
14930352	6152	0	66	15728640	2147483648	270532674	12912760	30
14930352	6152	0	66	15728640	2147483648	270532674	12912760	30
14930352	6152	0	66	15728640	2147483648	270532674	12912760	30
14930352	6152	0	66	15728640	2147483648	270532674	12912760	30
14930352	6152	0	66	15728640	2147483648	270532674	12912760	31
14930352	6152	0	66	15728640	2147483648	270532674	12912760	31
14930352	6152	0	66	15728640	2147483648	270532674	12912760	31
14930352	6152	0	66	15728640	2147483648	270532674	12912760	31
14930352	6152	0	66	15728640	2147483648	270532674	12912760	31
14930352	6152	0	66	15728640	2147483648	270532674	12912760	31
14930352	6152	0	66	15728640	2147483648	270532674	12912760	31
14930352	6152	0	66	15728640	2147483648	270532674	12912760	32
14930352	6152	0	66	15728640	2147483648	270532674	12912760	32
14930352	6152	0	66	15728640	2147483648	270532674	12912760	32
14930352	6152	0	66	15728640	2147483648	270532674	12912760	32
14930352	6152	0	66	15728640	2147483648	270532674	12912760	32
14930352	6152	0	66	15728640	2147483648	270532674	12912760	32
14930352	6152	0	66	15728640	2147483648	270532674	12912760	32
14930352	6152	0	66	15728640	2147483648	270532674	12912760	32
14930352	6152	0	66	15728640	2147483648	270532674	12912760	33
14930352	6152	0	66	15728640	2147483648	270532674	12912760	33
14930352	6152	0	66	15728640	2147483648	270532674	12912760	33
14930352	6152	0	66	15728640	2147483648	270532674	12912760	33
14930352	6152	0	66	15728640	2147483648	270532674	12912760	33
14930352	6152	0	66	15728640	2147483648	270532674	12912760	33
14930352	6152	0	66	15728640	2147483648	270532674	12912760	33
14930352	6152	0	66	15728640	2147483648	270532674	12912760	34
14930352	6152	0	66	15728640	2147483648	270532674	12912760	34
14930352	6152	0	66	15728640	2147483648	270532674	12912760	34
14930352	6152	0	66	15728640	2147483648	270532674	12912760	34
