fib_sum	dfsr	ifsr	actlr	cpacr	pmcr	cache_aux_cntrl	cntrl	time
14930352	6152	0	66	15728640	2147483648	270532674	12912760	14
14930352	6152	0	66	15728640	2147483648	270532674	12912760	46
14930352	6152	0	66	15728640	2147483648	270532674	12912760	47
14930352	6152	0	66	15728640	2147483648	270532674	12912760	47
14930352	6152	0	66	15728640	2147483648	270532674	12912760	47
14930352	6152	0	66	15728640	2147483648	270532674	12912760	47
14930352	6152	0	66	15728640	2147483648	270532674	12912760	47
14930352	6152	0	66	15728640	2147483648	270532674	12912760	47
14930352	6152	0	66	15728640	2147483648	270532674	12912760	47
14930352	6152	0	66	15728640	2147483648	270532674	12912760	47
14930352	6152	0	66	15728640	2147483648	270532674	12912760	48
14930352	6152	0	66	15728640	2147483648	270532674	12912760	48
14930352	6152	0	66	15728640	2147483648	270532674	12912760	48
14930352	6152	0	66	15728640	2147483648	270532674	12912760	48
14930352	6152	0	66	15728640	2147483648	270532674	12912760	48
14930352	6152	0	66	15728640	2147483648	270532674	12912760	48
14930352	6152	0	66	15728640	2147483648	270532674	12912760	48
14930352	6152	0	66	15728640	2147483648	270532674	12912760	48
14930352	6152	0	66	15728640	2147483648	270532674	12912760	49
14930352	6152	0	66	15728640	2147483648	270532674	12912760	49
14930352	6152	0	66	15728640	2147483648	270532674	12912760	49
14930352	6152	0	66	15728640	2147483648	270532674	12912760	49
14930352	6152	0	66	15728640	2147483648	270532674	12912760	49
14930352	6152	0	66	15728640	2147483648	270532674	12912760	49
14930352	6152	0	66	15728640	2147483648	270532674	12912760	49
14930352	6152	0	66	15728640	2147483648	270532674	12912760	49
14930352	6152	0	66	15728640	2147483648	270532674	12912760	50
14930352	6152	0	66	15728640	2147483648	270532674	12912760	50
14930352	6152	0	66	15728640	2147483648	270532674	12912760	50
14930352	6152	0	66	15728640	2147483648	270532674	12912760	50
14930352	6152	0	66	15728640	2147483648	270532674	12912760	50
14930352	6152	0	66	15728640	2147483648	270532674	12912760	50
14930352	6152	0	66	15728640	2147483648	270532674	12912760	50
14930352	6152	0	66	15728640	2147483648	270532674	12912760	51
14930352	6152	0	66	15728640	2147483648	270532674	12912760	51
14930352	6152	0	66	15728640	2147483648	270532674	12912760	51
14930352	6152	0	66	15728640	2147483648	270532674	12912760	51
14930352	6152	0	66	15728640	2147483648	270532674	12912760	51
14930352	6152	0	66	15728640	2147483648	270532674	12912760	51
14930352	6152	0	66	15728640	2147483648	270532674	12912760	51
14930352	6152	0	66	15728640	2147483648	270532674	12912760	51
14930352	6152	0	66	15728640	2147483648	270532674	12912760	52
14930352	6152	0	66	15728640	2147483648	270532674	12912760	52
14930352	6152	0	66	15728640	2147483648	270532674	12912760	52
14930352	6152	0	66	15728640	2147483648	270532674	12912760	52
14930352	6152	0	66	15728640	2147483648	270532674	12912760	52
14930352	6152	0	66	15728640	2147483648	270532674	12912760	52
14930352	6152	0	66	15728640	2147483648	270532674	12912760	52
14930352	6152	0	66	15728640	2147483648	270532674	12912760	52
14930352	6152	0	66	15728640	2147483648	270532674	12912760	52
14930352	6152	0	66	15728640	2147483648	270532674	12912760	53
14930352	6152	0	66	15728640	2147483648	270532674	12912760	53
14930352	6152	0	66	15728640	2147483648	270532674	12912760	53
14930352	6152	0	66	15728640	2147483648	270532674	12912760	53
14930352	6152	0	66	15728640	2147483648	270532674	12912760	53
14930352	6152	0	66	15728640	2147483648	270532674	12912760	53
14930352	6152	0	66	15728640	2147483648	270532674	12912760	53
14930352	6152	0	66	15728640	2147483648	270532674	12912760	54
14930352	6152	0	66	15728640	2147483648	270532674	12912760	54
14930352	6152	0	66	15728640	2147483648	270532674	12912760	54
14930352	6152	0	66	15728640	2147483648	270532674	12912760	54
14930352	6152	0	66	15728640	2147483648	270532674	12912760	54
14930352	6152	0	66	15728640	2147483648	270532674	12912760	54
14930352	6152	0	66	15728640	2147483648	270532674	12912760	54
14930352	6152	0	66	15728640	2147483648	270532674	12912760	54
14930352	6152	0	66	15728640	2147483648	270532674	12912760	55
14930352	6152	0	66	15728640	2147483648	270532674	12912760	55
14930352	6152	0	66	15728640	2147483648	270532674	12912760	55
14930352	6152	0	66	15728640	2147483648	270532674	12912760	55
14930352	6152	0	66	15728640	2147483648	270532674	12912760	55
14930352	6152	0	66	15728640	2147483648	270532674	12912760	55
14930352	6152	0	66	15728640	2147483648	270532674	12912760	55
14930352	6152	0	66	15728640	2147483648	270532674	12912760	56
